epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,3210.97,1.2574,0.90414,1.22787,0.77962,0.66314,0.72725,0.36971,1.64588,1.07128,1.51524,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3265.21,1.25087,0.9055,1.23213,0.77724,0.6704,0.72652,0.3719,1.64688,1.06308,1.52749,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3319.66,1.25448,0.89602,1.22433,0.79067,0.67124,0.73354,0.37472,1.64996,1.05821,1.51765,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3374.04,1.2499,0.90075,1.22318,0.78879,0.67047,0.73105,0.37646,1.64793,1.05765,1.52018,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3428.46,1.24947,0.88686,1.22298,0.79185,0.66741,0.73121,0.37521,1.65372,1.06567,1.52298,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3482.57,1.23317,0.88274,1.21361,0.75674,0.68137,0.72691,0.37581,1.65196,1.05467,1.52794,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3536.75,1.23726,0.88467,1.21878,0.77449,0.66383,0.72308,0.37356,1.65773,1.05605,1.53445,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3590.82,1.22855,0.87127,1.21003,0.76733,0.67935,0.72472,0.37644,1.65305,1.05101,1.53131,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3645.1,1.22323,0.85215,1.2032,0.78338,0.6619,0.72304,0.37495,1.65232,1.05163,1.52482,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3699.58,1.21397,0.85416,1.19934,0.77097,0.67145,0.72438,0.37482,1.65573,1.0492,1.52717,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3753.87,1.20803,0.84254,1.19608,0.77552,0.67939,0.72724,0.37342,1.66198,1.04457,1.53651,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3808.13,1.20741,0.85156,1.20057,0.77594,0.6772,0.72784,0.37457,1.65893,1.0413,1.53241,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3862.24,1.19764,0.8422,1.19557,0.76255,0.6884,0.72953,0.37532,1.66524,1.03577,1.54126,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3916.47,1.19429,0.83899,1.18544,0.7603,0.6907,0.72924,0.37259,1.66636,1.04837,1.54473,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3970.77,1.18846,0.82748,1.18411,0.75072,0.69039,0.72298,0.37265,1.66409,1.04112,1.54557,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4024.92,1.17445,0.81832,1.17527,0.77719,0.67631,0.72677,0.37462,1.65777,1.03784,1.53896,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4079.2,1.17568,0.81287,1.17902,0.78092,0.67039,0.72377,0.37651,1.65325,1.03735,1.53513,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4133.55,1.18395,0.81284,1.18036,0.78165,0.67044,0.72498,0.37397,1.65041,1.03147,1.53603,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4187.69,1.1646,0.79855,1.17079,0.77756,0.67055,0.72446,0.37552,1.64967,1.03433,1.53788,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4241.93,1.16552,0.80456,1.17307,0.75565,0.68416,0.72761,0.37618,1.65097,1.03931,1.53931,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4296.05,1.15201,0.78894,1.16476,0.78075,0.67022,0.72802,0.37472,1.64986,1.03575,1.53927,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4350.34,1.14149,0.78268,1.15765,0.79205,0.66334,0.72854,0.37468,1.65378,1.03602,1.54308,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4404.68,1.14381,0.78721,1.16528,0.75455,0.69217,0.72751,0.37281,1.64909,1.03555,1.53899,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4458.96,1.14256,0.77011,1.1574,0.7729,0.67451,0.72518,0.37217,1.6501,1.03599,1.5432,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4513.41,1.13877,0.78016,1.15954,0.76933,0.68019,0.72479,0.37371,1.65525,1.03491,1.54724,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4567.55,1.12742,0.77762,1.15323,0.77558,0.6767,0.72545,0.37443,1.65618,1.02965,1.55123,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4621.55,1.12603,0.76237,1.14687,0.77289,0.67917,0.72495,0.3739,1.65455,1.02727,1.549,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4675.61,1.11616,0.75946,1.14498,0.76503,0.68516,0.72383,0.37393,1.65482,1.0309,1.54873,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4729.78,1.11722,0.75314,1.14872,0.77081,0.68517,0.72752,0.37514,1.65928,1.0271,1.55332,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4784.13,1.106,0.75048,1.14164,0.77275,0.68519,0.72639,0.37461,1.65907,1.02498,1.5538,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4838.42,1.10639,0.74274,1.13575,0.76886,0.68807,0.72683,0.37578,1.66074,1.02532,1.5578,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4892.68,1.10531,0.7359,1.13846,0.77337,0.68138,0.72552,0.37486,1.6613,1.02573,1.55957,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4958.47,1.07818,0.65278,1.13198,0.77116,0.68285,0.72894,0.37572,1.664,1.0283,1.56402,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,5012.27,1.05132,0.62329,1.11233,0.77347,0.68748,0.72961,0.37529,1.6652,1.02998,1.56784,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,5066.15,1.04469,0.61772,1.11116,0.77104,0.68753,0.72722,0.3742,1.66464,1.02925,1.56889,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5120.3,1.03036,0.60276,1.10303,0.7779,0.68517,0.72721,0.37375,1.6625,1.02809,1.56748,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5174.25,1.01398,0.59668,1.09263,0.77499,0.68528,0.72748,0.37512,1.66022,1.02677,1.56649,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5228.43,1.00893,0.58794,1.0859,0.77817,0.68396,0.72911,0.3746,1.65972,1.02665,1.56647,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5282.17,1.01107,0.59418,1.09132,0.77598,0.68405,0.72717,0.37462,1.65908,1.02589,1.5685,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,5335.88,1.00276,0.59156,1.08805,0.78082,0.68391,0.72785,0.37328,1.65961,1.02658,1.57039,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,5389.54,0.98886,0.57672,1.08237,0.77845,0.68247,0.72607,0.37267,1.66051,1.0285,1.57185,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,5443.49,0.99087,0.57765,1.08501,0.7792,0.68273,0.72629,0.37302,1.66077,1.0294,1.57254,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
